id_inequality,rb_id,rb_name,province_id,s_industry,s_prot,s_german,longitud,latitud,slope_km,soil_suitability,mean_temp,mean_preci,dist_100km,log_distance_carbon_c,NAME,county_name,uni_dummy,min_distance_uni,prov_cap_dummy,BER_dummy,density
576.0,14.0,Kassel,11.0,62.00943721947289,97.39009447723346,99.96023329798516,10.4940990109,50.7436827065,0.148,3.666666666666667,7.159,78.236,0.353,1.6676627395492944,SCHMALKALDEN,Schmalkalden,0,0.9634254661910088,0,0,61.163250973632124
577.0,14.0,Kassel,11.0,36.66986104456157,97.00102774922918,99.81037367540435,9.2389633709,52.2436419647,0.07,1.714285714285714,9.155,66.143,0.084,4.382328110914737,SCHAUMBURG,Schaumburg,0,1.001069987912659,0,0,61.163250973632124
578.0,14.0,Kassel,11.0,13.277368511221518,38.06796667928815,99.98079877112134,9.9323381653,50.523705508,0.153,1.571428571428571,7.413,83.982,0.5,3.855269640841711,GERSFELD,Gersfeld,0,0.7300394712903717,0,0,61.163250973632124
579.0,36.0,Wiesbaden,11.0,27.76212711766295,96.27670522372699,99.11617896231168,8.5419575538,50.8646417659,0.11,2.166666666666667,7.912,73.564,0.235,0.0,BIEDENKOPF,Biedenkopf,0,0.200351261983462,0,0,61.163250973632124
580.0,36.0,Wiesbaden,11.0,41.26365054602184,91.22226547294667,99.2989222915485,8.2767069208,50.7249294424,0.116,1.75,8.024,75.001,0.194,0.0,DILLKREIS,Dillkreis,0,0.42192173106635766,0,0,61.163250973632124
581.0,36.0,Wiesbaden,11.0,23.465180207697006,66.78126028599641,99.8031173092699,7.8665523108,50.652887675,0.122,1.666666666666667,8.061,82.288,0.304,3.2527801665926632,OBERWESTERWALDKREIS,Oberwesterwaldkreis,0,0.7526696747750498,0,0,61.163250973632124
582.0,36.0,Wiesbaden,11.0,16.713602724474423,24.91946378468253,99.90753582986592,7.9826802807,50.5362122802,0.111,1.0,8.161,74.77,0.155,2.727159891411928,WESTERBURG,Westerburg,0,0.6947384265892087,0,0,61.163250973632124
583.0,36.0,Wiesbaden,11.0,38.54612645905629,18.85670924497281,99.51076536571391,7.7620774571,50.4680423578,0.101,1.625,8.439,78.497,0.134,3.2405526200732946,UNTERWESTERWALDKREIS,Unterwesterwaldkreis,0,0.6981600586826316,0,0,61.163250973632124
584.0,36.0,Wiesbaden,11.0,30.33185486025757,76.92872527902878,99.79013906447534,8.2637104038,50.4595790225,0.092,1.5,8.949,59.613,0.008,0.0,OBERLAHNKREIS,Oberlahnkreis,0,0.43117119806540843,0,0,61.163250973632124
585.0,36.0,Wiesbaden,11.0,28.55611003423104,19.89240517754951,99.84799087945277,8.1345799679,50.3958385593,0.088,1.5,9.087,59.047,0.019,0.6667164086217353,LIMBURG,Limburg,0,0.573832512862514,0,0,61.163250973632124
586.0,36.0,Wiesbaden,11.0,29.405910274077478,80.7372691965545,99.14109876237066,7.9253434334,50.3113163656,0.09,2.428571428571428,8.821,64.438,0.034,1.544044871946606,UNTERLAHNKREIS,Unterlahnkreis,0,0.7993405387424029,0,0,61.163250973632124
587.0,36.0,Wiesbaden,11.0,28.806079921549397,57.50033513561821,99.27155763681945,7.7655629635,50.2065652115,0.106,2.666666666666667,8.831,62.601,0.066,2.2784452330162996,SANKT GOARSHAUSEN,Sankt Goarshausen,0,0.8380362685950176,0,0,61.163250973632124
588.0,36.0,Wiesbaden,11.0,30.915519365725615,11.035304859490717,99.78196287918017,7.9617492238,50.0463686266,0.085,1.75,9.014,54.771,0.063,3.1232448548720173,RHEINGAUKREIS,Rheingaukreis,0,0.7103382781428698,0,0,61.163250973632124
590.0,36.0,Wiesbaden,11.0,36.58155289213132,63.08141135025045,97.81444879283715,8.2173231062,50.0956867158,0.076,2.441484317431974,9.438,54.804,0.059,3.273239498960089,WIESBADEN,Wiesbaden Stadt,0,0.48746948807990625,0,0,61.163250973632124
591.0,36.0,Wiesbaden,11.0,50.76838638858398,63.256256402751355,99.48407019658056,8.3104829618,50.0710386541,0.067,1.8,9.748,52.951,0.057,3.483863895755093,WIESBADEN,Wiesbaden Land,0,0.3939582358148815,0,0,61.163250973632124
592.0,36.0,Wiesbaden,11.0,22.382020280811233,76.93089151862937,99.88724087084742,8.1427293915,50.1857322474,0.113,2.875,8.494,62.763,0.164,2.7139080796078,UNTERTAUNUSKREIS,Untertaunuskreis,0,0.596852213297804,0,0,61.163250973632124
